erId	pkrgId	name	romDesc	shortDesc	wiredAttrs
13	13	Cloud Nine	Cloud Nine clears all weather upon switch-in and nullifies weather effects (including Primal weathers) while the user remains on the field. Weather can still be set, but provides no damage boosts or ability triggers until the user switches out.	Clears weather and prevents its effects.	SuppressWeatherEffectAbAttr,PostSummonUnnamedMessageAbAttr,PostSummonWeatherSuppressedFormChangeAbAttr,PostFaintUnsuppressedWeatherFormChangeAbAttr
14	14	Compound Eyes	Boosts the user's accuracy by 1.3x.	Grants a 1.3x accuracy boost.	StatMultiplierAbAttr,AiMovegenMoveStatsAbAttr
15	15	Insomnia	Prevents falling asleep by any means, including sleep moves, abilities like Yawn, and other effects that cause sleep status. Rest will fail completely when used. If gained while asleep (via Worry Seed/Skill Swap), immediately wakes up. Can be bypassed by Mold Breaker and similar abilities. TEST	Cannot fall asleep. Rest fails if used.	StatusEffectImmunityAbAttr,PostSummonHealStatusAbAttr,BattlerTagImmunityAbAttr
16	16	Color Change	Transforms the user into the best defensive type before taking damage. Prioritizes immunities over resistances. Only changes to a pure type. Once per turn.	Changes type to a resist or an immunity before getting hit.	PostDefendTypeChangeAbAttr
17	17	Immunity	Prevents poisoning. Reduces all Poison-type damage by 50%. Multiplicative with other sources of damage reduction. If poisoned when gaining this ability, the poison is immediately cured.	Cannot be poisoned. Halves damage taken from Poison moves.	StatusEffectImmunityAbAttr,PostSummonHealStatusAbAttr,ReceivedTypeDamageMultiplierAbAttr
18	18	Flash Fire	Flash Fire grants complete immunity to Fire-type moves. When hit by Fire attacks, powers up the user's Fire moves by 50% until switching out. The boost doesn't stack from multiple Fire hits.	Powers up Fire-type moves by 1.5x if hit by a Fire-type move.	TypeImmunityAddBattlerTagAbAttr
19	19	Shield Dust	Blocks all secondary effects from damaging moves. Grants immunity to entry hazards. Blocks all powder moves including Sleep Powder, Stun Spore, Poison Powder, Spore, Cotton Spore, Rage Powder, Powder, and Magic Powder.	Immune to added move effects, hazards, and powder moves.	IgnoreMoveEffectsAbAttr
20	20	Own Tempo	Grants immunity to confusion, Intimidate, and Scare. Immediately cures confusion when receiving this ability.	Immune to confusion, Intimidate and Scare.	BattlerTagImmunityAbAttr,PostSummonRemoveBattlerTagAbAttr,IntimidateImmunityAbAttr
21	21	Suction Cups	Prevents forced switching from moves and Red Card.	Cannot be forced to switch out by an enemy's move.	ForceSwitchOutImmunityAbAttr
22	22	Intimidate	Upon entering battle, the user drops the Attack stat of all opposing Pokemon by one stage.	Lowers foes' Atk by one stage on entry.	PostSummonStatStageChangeAbAttr
23	23	Shadow Tag	Prevents all non-Shadow Tag or Ghost-type foes from switching out. Pokemon holding Shed Shell or using a pivot move such as Flip Turn can escape. Activates during the next turn if the user switches in mid battle.	Opponents can't be switched out. Ghosts aren't affected.	ArenaTrapAbAttr
24	24	Rough Skin	Damages attackers using contact moves for 1/8 of their max HP. Activates on every hit for multihitting moves.	Enemies lose 1/8 of max HP if they use a contact move.	PostDefendContactDamageAbAttr
25	25	Wonder Guard	Only super-effective attacks or indirect damage can hurt the user. All other direct attacks deal zero damage. Other sources such as poison or ability damage still function as normal.	Is only hit by Super-effective attacks or indirect damage.	NonSuperEffectiveImmunityAbAttr
26	26	Levitate	The user is immune to Ground- type moves and other ground effects such as Spikes and terrains. Boosts the damage of Flying-type moves by 25%.	Immune to Ground-type moves. Ups own Flying moves by 1.25x.	AttackTypeImmunityAbAttr,MoveTypePowerBoostAbAttr
27	27	Effect Spore	When hit by a contact move, 30% chance to inflict sleep, paralysis, or poison. Chosen randomly.	30% chance to inflict SLP, PARA or PSN if hit by a contact move.	EffectSporeAbAttr,ChanceStatusOnHitAbAttr,ChanceStatusOnHitAbAttr,ChanceStatusOnHitAbAttr
28	28	Synchronize	When inflicted with a non- volatile status (except sleep), the attacker receives the same status. Bypasses Substitute. If the user can cure the status when it is inflicted, they will inflict the status to the attacker before curing it.	Enemies inflicting status on this Pokémon get same status.	SyncEncounterNatureAbAttr,SynchronizeStatusAbAttr
29	29	Clear Body	Gives immunity to all stat reductions from moves and abilities. Includes self stat drops from moves like Overheat.	Immune to stat drops.	ProtectStatAbAttr
30	30	Natural Cure	Cures all status conditions when switching out.	Heals status condition upon switching out.	PreSwitchOutResetStatusAbAttr
31	31	Lightning Rod	The user draws in Electric-type moves and gains immunity to them. Additionally, Electric-type moves boost the highest attacking stat of the user by one stage.	Redirects Electric moves. Absorbs them, ups highest Atk.	RedirectTypeMoveAbAttr,TypeImmunityHighestAttackStatStageAbAttr
32	32	Serene Grace	Doubles the activation chance of the user's secondary effects on their attacks.	Doubles chance of secondary effects on its own moves.	MoveEffectChanceMultiplierAbAttr
33	33	Swift Swim	Boosts Speed by 50% during rain.	This Pokémon's Speed gets a 1.5x boost if rain is active.	StatMultiplierAbAttr
34	34	Chlorophyll	Boosts the Pokemon's Speed by 50% during sun.	This Pokémon's Speed gets a 1.5x boost if sun is active.	StatMultiplierAbAttr
35	35	Illuminate	Boosts the user's accuracy by 1.2x. Removes Ghost-typing on target when landing an attack.	Grants a 1.2x accuracy boost.	StatMultiplierAbAttr
36	36	Trace	Copies the ability of an opposing Pokemon when entering battle, replacing itself in the current ability slot. Cannot copy Trace, Wonder Guard, and most form related abilities. In doubles, targets the first valid opponent at random.	Copies the foe's ability. Does not copy innates.	PostSummonCopyAbilityAbAttr
37	37	Huge Power	Increases the user's Attack stat by 2x. Multiplicative with other damage boosts.	Doubles own Attack stat. Boosts raw stat, not base stat.	StatMultiplierAbAttr,AiMovegenMoveStatsAbAttr
38	38	Poison Point	Has a 30% chance to inflict poison on contact moves, both when attacking and being attacked.	30% chance to poison on contact. Also works on offense.	PostDefendContactApplyStatusEffectAbAttr,ChanceStatusOnHitAbAttr,PostAttackContactApplyStatusEffectAbAttr
39	39	Inner Focus	Focus Blast never misses. Unaffected by flinch, Intimidate, or Scare.	Blocks flinch, Intimidate, Scare. Focus Blast never misses.	BattlerTagImmunityAbAttr,IntimidateImmunityAbAttr
40	40	Magma Armor	Immune to frostbite. Reduces damage received from Water and Ice-type moves by 30%. Multiplicative with other sources of damage reduction.	Frostbite-immune. Takes 30% less dmg from Water/Ice-type moves.	StatusEffectImmunityAbAttr,PostSummonHealStatusAbAttr,ReceivedTypeDamageMultiplierAbAttr,ReceivedTypeDamageMultiplierAbAttr
41	41	Water Veil	Uses Aqua Ring on entry, which restores 1/16 HP each turn. Grants immunity to burn status and removes burn on switching in.	Burn-immune. Casts Aqua Ring on entry.	StatusEffectImmunityAbAttr,PostSummonHealStatusAbAttr,EntryEffectAbAttr
42	42	Magnet Pull	Prevents Steel-type Pokemon from switching out while the user is present. Ghost-types are immune to this effect. Pokemon holding Shed Shell or using a pivot move such as Flip Turn can escape. Activates during the next turn if the user switches in mid battle.	Traps opposing Steel-types. Ghosts aren't affected.	ArenaTrapAbAttr
43	43	Soundproof	Grants immunity to sound-based moves. Self-targeting sound moves are not blocked.	Immune to sound-based moves.	MoveImmunityAbAttr
44	44	Rain Dish	Restores 1/8 max HP at the end of each turn in rain.	Heals 1/8 of max HP every turn if rain is active.	PostWeatherLapseHealAbAttr
45	45	Sand Stream	Summons a Sandstorm for 8 turns (12 with Smooth Rock) on entry. Damages non-Rock/Ground/Steel types by 1/16 HP per turn. Rock- types gain a 50% Special Defense boost. Halves the effectiveness of sun related moves.	Summons a sandstorm on entry. Lasts 8 turns.	ErWeatherSummonAbAttr,ErBiomeChangeWeatherAbAttr
46	46	Pressure	Doubles PP usage of opposing moves and clears all positive stat stages on entry.	Doubles foe's PP usage. Clears stat buffs on entry.	IncreasePpAbAttr,PostSummonMessageAbAttr,ClearOpponentStatBuffsOnSummonAbAttr
47	47	Thick Fat	Reduces damage received from Fire and Ice-type moves by 50%. Multiplicative with other sources of damage reduction.	Takes 1/2 damage from Fire-type and Ice-type attacks.	ReceivedTypeDamageMultiplierAbAttr,ReceivedTypeDamageMultiplierAbAttr
48	48	Early Bird	Allows the user to wake up from sleep twice as fast. Subtract 2 sleep turns every turn instead of 1.	Awakens twice as fast from sleep.	ReduceStatusEffectDurationAbAttr
49	49	Flame Body	Contact with this Pokemon has a 30% chance to inflict burn. Non- contact has a 20% chance. Works offensively and defensively.	30% chance to burn on contact, 20% non. Also works on offense.	PostDefendContactApplyStatusEffectAbAttr,ChanceStatusOnHitAbAttr,PostAttackContactApplyStatusEffectAbAttr
50	50	Run Away	Guarantees successful escape from wild Pokemon battles regardless of speed differences. When any of the user's stats are lowered by an opponent's move or ability, raises the user's Speed by 2 stages.	Guarantees fleeing. Raises Speed if stats lowered by an enemy.	RunSuccessAbAttr,StatTriggerOnStatLoweredAbAttr
51	51	Keen Eye	Prevents accuracy stat stage drops. All moves gain a 1.2x accuracy boost.	Immune to accuracy drops. Grants a 1.2x accuracy boost.	ProtectStatAbAttr,StatMultiplierAbAttr
52	52	Hyper Cutter	Hyper Cutter prevents enemies from lowering the user's Attack stat through moves or abilities. All contact moves used by this Pokemon have their critical hit rate increased by one stage.	Enemies can't lower Atk/SpAtk. Contact moves get +1 Crit.	ProtectStatAbAttr,ProtectStatAbAttr,CritStageBonusAbAttr
53	53	Pickup	Clears all entry hazards from your side of the field when entering battle. The Pokemon is still susceptible to hazards while clearing them.	Removes all hazards on entry. Not immune to hazards.	PostBattleLootAbAttr,PostSummonRemoveArenaTagAbAttr
54	54	Truant	Prevents consecutive attacking moves. After using an attack, the user must loaf around next turn and cannot attack. Status moves remain unaffected.	Can't use attacking moves twice in a row.	PostSummonAddBattlerTagAbAttr
55	55	Hustle	Boosts the power of attacks by 1.4x but reduces their accuracy by 10%. Only affects non-status moves.	0.9x accuracy. Boosts damage by 1.4x.	StatMultiplierAbAttr,StatMultiplierAbAttr,AiMovegenMoveStatsAbAttr
56	56	Cute Charm	When hit by making contact (offensively or defensively), has a 50% chance to infatuate the attacker (cuts their Attack and Special Attack in half). This only works on Pokemon of the opposite gender.	50% chance to attract on contact. Also works on offense.	PostDefendContactApplyTagChanceAbAttr,PostAttackApplyBattlerTagAbAttr
57	57	Plus	Doubles the Pokemon's offensive power when partnered with an ally that has Plus or Minus.	Deals double damage if an ally Pokémon has Minus or Plus.	StatMultiplierAbAttr
58	58	Minus	Doubles the Pokemon's offensive power when partnered with an ally that has Minus or Plus.	Deals double damage if an ally Pokémon has Minus or Plus.	StatMultiplierAbAttr
59	59	Forecast	Changes form and type to match active weather. When using weather setting moves, follows up with Weather Ball (100 BP, Special, matching type with set weather). Transforms on entry, weather changes, and turn end. Unsuppressable ability that works even under Mold Breaker effects.	Changes form with the weather. Attacks when setting weather.	NoFusionAbilityAbAttr,PostSummonFormChangeByWeatherAbAttr,PostWeatherChangeFormChangeAbAttr
60	60	Sticky Hold	The user's item cannot be forcibly removed or stolen.	Can't lose its item.	BlockItemTheftAbAttr
61	61	Shed Skin	At the end of each turn, there's a 30% chance for the user to cure status conditions afflicted on them.	30% chance to heal its status condition at the end of a turn.	PostTurnResetStatusAbAttr
62	62	Guts	Boosts Attack stat by 50% when suffering from any status condition. Negates the Attack drop from burn status.	Ups Atk by 1.5x if suffering from a status condition.	BypassBurnDamageReductionAbAttr,StatMultiplierAbAttr
63	63	Marvel Scale	Increases base Defense by 50% when afflicted with any status condition.	Ups Def by 1.5x when statused.	StatMultiplierAbAttr
64	64	Liquid Ooze	Liquid Ooze reverses all healing effects from drain moves, causing the attacker to take damage instead. Affects Absorb, Drain Punch, Giga Drain, Leech Life, and similar draining attacks. The damage equals what would have been healed. Perfect counter to healing-based strategies.	Draining causes harm to enemies instead of healing them.	ReverseDrainAbAttr
65	65	Overgrow	Boosts the power of Grass-type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Grass-type moves by 1.2x, or 1.5x when under 1/3 HP.	LowHpMoveTypePowerBoostAbAttr,MoveTypePowerBoostAbAttr
66	66	Blaze	Boosts the power of Fire-type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Fire-type moves by 1.2x, or 1.5x when under 1/3 HP.	LowHpMoveTypePowerBoostAbAttr,MoveTypePowerBoostAbAttr
67	67	Torrent	Boosts the power of Water-type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Water-type moves by 1.2x, or 1.5x when under 1/3 HP.	LowHpMoveTypePowerBoostAbAttr,MoveTypePowerBoostAbAttr
68	68	Swarm	Boosts the power of Bug-type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Bug-type moves by 1.2x, or 1.5x when under 1/3 HP.	LowHpMoveTypePowerBoostAbAttr,MoveTypePowerBoostAbAttr
69	69	Rock Head	Prevents all recoil damage from the user's moves and abilities. Also grants immunity to enrage recoil damage. Does not prevent crash damage or Explosion/Self- Destruct damage.	Immune to recoil damage, but not immune to Explosion/crash dmg.	BlockRecoilDamageAttr
70	70	Drought	Summons harsh sunlight for 8 turns (12 with Heat Rock) on entry. Boosts Fire moves by 50%, reduces Water moves by 50%. Activates extra effects on sun related moves.	Summons sun on entry. Lasts 8 turns.	ErWeatherSummonAbAttr,ErBiomeChangeWeatherAbAttr,AiMovegenMoveStatsAbAttr
71	71	Arena Trap	Prevents all non-levitating or Ghost-type foes from switching out. Pokemon holding Shed Shell or using a pivot move such as Flip Turn can escape. Activates during the next turn if the user switches in mid battle	Enemies can't flee. Ghosts and ungrounded Pokémon are immune.	ArenaTrapAbAttr,DoubleBattleChanceAbAttr
72	72	Vital Spirit	Immune to sleep. When the Pokemon uses a Fighting-type move, it heals all status conditions immediately after the move resolves. Removes sleep when gained.	Can't fall asleep. Fighting-type moves heal status.	StatusEffectImmunityAbAttr,PostSummonHealStatusAbAttr,BattlerTagImmunityAbAttr,HealStatusOnMoveTypeAbAttr
73	73	White Smoke	Sets Smokescreen on entry, lasting 3 turns. Smokescreen increases the evasiveness of your party by 25%.	Sets Smokescreen for 3 turns on switch-in.	ProtectStatAbAttr,EntryEffectAbAttr
74	74	Pure Power	Increases the user's Attack stat by 2x. Multiplicative with other damage boosts.	Doubles own Sp.Atk stat. Boosts raw stat, not base stat.	AiMovegenMoveStatsAbAttr,StatMultiplierAbAttr
75	75	Shell Armor	Incoming damage is reduced by 20% (x0.8), multiplicative with other damage reduction. Additionally, critical hits are blocked, functioning as regular hits and not activating on-crit effects like To The Bone's bleed.	Immune to critical hits. Takes 20% less damage from attacks.	BlockCritAbAttr,ReceivedMoveDamageMultiplierAbAttr
76	76	Air Lock	Sets Tailwind for 3 turns and clears all weather effects on entry. Primal weathers are suppressed. Weather can still be set while the user is on the field, but will have no effect until the user switches.	Cloud Nine + Air Blower.	SuppressWeatherEffectAbAttr,PostSummonUnnamedMessageAbAttr,PostSummonWeatherSuppressedFormChangeAbAttr,PostFaintUnsuppressedWeatherFormChangeAbAttr,EntryTailwindClearWeatherAbAttr
77	77	Tangled Feet	When the user is confused or enraged, the Pokemon uses its Speed stat instead of Defense or Special Defense for damage calculations. Choice Scarf does not affect this ability.	Uses Speed as defensive stat when confused or enraged.	StatMultiplierAbAttr
78	78	Motor Drive	Immune to Electric-type moves, and boost Speed by 1 stage when the user is hit by them. Activates on each hit of a multihit move.	Boosts Speed instead of being hit by Electric-type moves.	TypeImmunityStatStageChangeAbAttr
79	79	Rivalry	Boosts the user's damage by 25% against same-gender Pokemon and reduces damage taken by 25% from opposite-gender Pokemon. No effect with genderless Pokemon.	Deals 1.25x to same gender. Takes .75x from opposite gender.	MovePowerBoostAbAttr,MovePowerBoostAbAttr
80	80	Steadfast	Getting flinched raises Speed by one stage.	Raises Speed by one stage if this Pokémon flinches.	FlinchStatStageChangeAbAttr
81	81	Snow Cloak	Evasion is boosted by 1.25x under hail.	Evasion is boosted by 1.25x under hail.	StatMultiplierAbAttr,BlockWeatherDamageAttr
82	82	Gluttony	Berries that normally activate at 1/4 HP trigger at 1/2 HP instead. Additionally, after consuming any berry, the user recovers 1/3 of max HP. Does not include berries consumed through moves like Pluck.	Eats berries early. Berries also restore 1/3 of max HP.	ReduceBerryUseThresholdAbAttr,HealFromBerryUseAbAttr
83	83	Anger Point	When hit, raises the user's Attack by 1 stage or maximizes it on critical hits. Activates on each hit of a multihit move.	Getting hit raises Atk by +1. Critical hits maximize Attack.	PostReceiveCritStatStageChangeAbAttr,PostDefendStatStageChangeAbAttr
84	84	Unburden	When consuming or losing a held item, the user's base Speed stat is multiplied by x2. Boost goes away when switching out, gaining a new item, or upon losing the ability.	Consuming its held item doubles Speed until switched out.	PostItemLostApplyBattlerTagAbAttr
85	85	Heatproof	Halves damage from Fire-type moves. Immune to burn damage and Attack drops from burn status.	Halves damage taken from Fire-type moves. Takes no burn damage.	ReceivedTypeDamageMultiplierAbAttr,ReduceBurnDamageAbAttr
86	86	Simple	Doubles all stat changes on this Pokémon.	Doubles all stat changes on this Pokémon.	StatStageChangeMultiplierAbAttr
87	87	Dry Skin	The user heals 25% HP from Water-type moves and 12.5% HP each turn in rain. Takes 25% more damage from Fire moves and loses 12.5% HP per turn in sun.	Water/Rain heals. Fire/Sun hurts.	PostWeatherLapseDamageAbAttr,PostWeatherLapseHealAbAttr,ReceivedTypeDamageMultiplierAbAttr,TypeImmunityHealAbAttr
88	88	Download	When switching in, if the foe's Defense is higher than Special Defense, raise Special Attack by one stage. If Special Defense is higher or equal, raise Attack by one stage.	Raises Atk/Sp. Atk by one stage depending on opponent.	DownloadAbAttr
89	89	Iron Fist	Boosts the power of punching moves by 30%.	Boosts the power of punching moves by 1.3x.	MovePowerBoostAbAttr
90	90	Poison Heal	Restores 1/8 max HP per turn instead of taking damage when poisoned. Works with both regular poison and toxic poison. Also prevents damage from Toxic terrain.	Restores 1/8 of max HP after each turn if poisoned.	PostTurnStatusHealAbAttr,BlockStatusDamageAbAttr
91	91	Adaptability	Boosts STAB damage boost on moves from 1.5x to 2.0x damage.	Increases STAB from 1.5x to 2x.	StabBoostAbAttr
92	92	Skill Link	Multihit moves to always hit 5 times. For moves that only hit 3 times or Population Bomb, there will be one accuracy check for all hits instead of individual checks for each hit.	Multi-hit moves always hit the maximum number of times.	MaxMultiHitAbAttr,AiMovegenMoveStatsAbAttr
93	93	Hydration	During rain, cures all status conditions at the end of the turn.	Cures own status at the end of every turn in rain.	PostTurnResetStatusAbAttr
94	94	Solar Power	Boosts the Pokemon's highest attacking stat by 50% during sun.	Ups highest attacking stat by 1.5x in sun.	PostWeatherLapseDamageAbAttr,StatMultiplierAbAttr
95	95	Quick Feet	Boosts Speed stat by 50% when suffering from any status condition. Negates the Speed drop from paralysis status.	Ups Speed by 1.5x if suffering from a status condition.	StatMultiplierAbAttr,StatMultiplierAbAttr
96	96	Normalize	Converts all damaging moves to Normal-type and grants a 10% power boost. Normal-type moves bypass resistances, but not immunities.	Its moves become Normal-type, get 1.1x boost, ignore resists.	MoveTypeChangeAbAttr,MovePowerBoostAbAttr,MovePowerBoostAbAttr
97	97	Sniper	Boosts critical hit damage from 1.5x to 2.25x by applying an additional 50% multiplier.	Critical hits have a 2.25x dmg multiplier instead of 1.5x.	MultCritAbAttr,AiMovegenMoveStatsAbAttr
98	98	Magic Guard	Grants immunity to all non- attack damage sources including entry hazards, weather damage, status conditions, and recoil.	Only damaged by attacks.	BlockNonDirectDamageAbAttr
99	99	No Guard	Guarantees hits for all moves used by and against the user.	Attacks used by and on this Pokémon bypass accuracy checks.	AlwaysHitAbAttr,DoubleBattleChanceAbAttr
100	100	Stall	Reduces damage by 30% if the user has not moved yet. Multiplicative with other damage reduction sources. Works when the user switches in mid-turn.	Takes 30% less damage if it hasn't moved yet.	ReceivedMoveDamageMultiplierAbAttr
101	101	Technician	Boosts moves with 60 BP or less by 1.5x. Does not boost moves with 60 BP or less if they potentially can have more than 60 BP, such as Revenge or Venoshock.	Moves with 60 BP or less get a 1.5x boost.	MovePowerBoostAbAttr
102	102	Leaf Guard	During sun, cures all status conditions at the end of the turn.	Cures own status at the end of every turn in sun.	PostTurnResetStatusAbAttr
103	103	Klutz (N)	Disables all held item effects. Items can still be knocked off or stolen but give no benefits. Item-based moves like Fling fail. Mega Stones bypass this restriction.	Own held item has no effect. Mega Stones are unaffected.	
104	104	Mold Breaker	Allows moves to ignore the target's abilities and innates that interfere with effects or reduce damage. Does not bypass abilities that modify base stats such as Grass Pelt.	Moves hit through abilities. Also affects innates.	PostSummonMessageAbAttr,MoveAbilityBypassAbAttr
105	105	Super Luck	Adds +1 to the critical hit stage of all the Pokemon's damaging moves.	Raises critical-hit ratio of own moves by +1.	BonusCritAbAttr
106	106	Aftermath	Uses a 100 BP Explosion or Outburst (whichever is higher) when knocked out. Using explosion moves will always Flinch the target.	After fainting uses 100 BP Explosion or Outburst.	OnFaintEffectAbAttr
107	107	Anticipation	Alerts the Pokemon when facing opponents with super-effective moves on switch-in. Dodge the first super effective hit received in battle.	Senses Super-effective moves. Dodges one Super-effective hit.	PostSummonMessageAbAttr,DodgeFirstSuperEffectiveAbAttr
108	108	Forewarn	Casts an 80 BP Future Sight on the opposing Pokemon when switching in. Strikes 2 turns later, bypassing substitutes and other protections. The attack cannot miss once initiated and ignores accuracy checks. This cannot target the same Pokemon twice.	Casts an 80 BP Future Sight on entry.	EntryEffectAbAttr
109	109	Unaware	Ignores all the foes' stat stage changes during damage calculations.	Ignores foes' stat changes, both positive and negative ones.	IgnoreOpponentStatStagesAbAttr
110	110	Tinted Lens	Doubles damage when attacking into resistances. If a move would be resisted (0.5x damage or less), the damage is multiplied by 2x.	Attacks deal double damage if resisted.	MoveDamageBoostAbAttr
111	111	Filter	Reduces damage from super- effective attacks by 35%. Multiplicative with other sources of damage reduction.	Takes 35% less damage from Super-effective moves.	ReceivedMoveDamageMultiplierAbAttr
112	112	Slow Start	Halves Attack, Special Attack, and Speed for the first 5 turns after switching in. The turn counter resets each time the Pokemon switches out.	Halves Offenses and Speed during the first 5 turns out.	PostSummonAddBattlerTagAbAttr
113	113	Scrappy	The user can land Normal and Fighting-type moves on Ghost- types for neutral damage. Grants immunity to Intimidate and Scare.	Normal/Fighting can hit Ghosts. Immune to Intimidate/Scare.	IgnoreTypeImmunityAbAttr,IntimidateImmunityAbAttr
114	114	Storm Drain	The user draws in Water-type moves and gains immunity to them. Additionally, Water-type moves boost the highest attacking stat of the user by one stage.	Redirects Water moves. Absorbs them, ups highest Atk.	RedirectTypeMoveAbAttr,TypeImmunityHighestAttackStatStageAbAttr
115	115	Ice Body	Restores 1/8 max HP at the end of each turn in hail. Also grants immunity to hail damage.	Heals 1/8 of max HP every turn in hail.	BlockWeatherDamageAttr,PostWeatherLapseHealAbAttr
116	116	Solid Rock	Reduces damage from super- effective attacks by 35%. Multiplicative with other sources of damage reduction.	Takes 35% less damage from Super-effective moves.	ReceivedMoveDamageMultiplierAbAttr
117	117	Snow Warning	Summons hailstorm for 8 turns (12 with Icy Rock) on entry. Damages non-Ice types by 1/16 HP per turn. Boosts the Defense stat of Ice-type Pokemon by 50%. Halves the effectiveness of sun related moves.	Summons hail on entry. Lasts 8 turns.	ErWeatherSummonAbAttr,ErBiomeChangeWeatherAbAttr,AiMovegenMoveStatsAbAttr
118	118	Honey Gather	Has a 50% chance to get Honey each turn if it had no item. Honey heals 1/16 HP per turn and can be eaten in a pinch to heal 1/4 HP. Works even if the user didn't start with Honey as its item.	Has a 50% chance to find Honey each turn.	MoneyAbAttr
119	119	Frisk	Upon entering battle, reveals the opponents' items and prevents them from working for 2 turns. Does not prevent Mega Stones and other similar items from working.	Checks foes' item and disables their items for two turns.	FriskAbAttr,DisableFoeItemsOnEntryAbAttr
120	120	Reckless	Increases the damage of moves that cause recoil by 20%. This bonus also applies when moves gain recoil through other means, such as madness or abilities.	Moves causing recoil damage deal 1.2x more damage.	MovePowerBoostAbAttr
121	121	Multitype	The user changes form based of the type of Plate they are currently holding. Plates cannot be removed, and Multitype cannot be overridden, suppressed, swapped, or copied in any way.	Held Plate item decides holder's type.	NoFusionAbilityAbAttr
122	122	Flower Gift	During sun, boost base Special Attack and Special Defense by 50% for this Pokemon and all allies.	Increases the party's SpAtk and SpDef by 1.5x in Sun.	StatMultiplierAbAttr,StatMultiplierAbAttr,AllyStatMultiplierAbAttr,AllyStatMultiplierAbAttr,NoFusionAbilityAbAttr,PostSummonFormChangeByWeatherAbAttr,PostWeatherChangeFormChangeAbAttr
123	123	Bad Dreams	All sleeping opponents lose 25% of their max HP at the end of each turn.	Sleeping Pokémon lose 1/4 of max HP at the end of each turn.	ErBadDreamsAbAttr
